Key,Russian,English
UIOrderBoard_Dealer12,Эти вредители стали ещё сильнее! Сможешь ли ты помочь мне летающими воинами?,
UIOrderBoard_Dealer13,Грядет великая битва! Но у меня не хватает еды в поход. Сможешь помочь?,
UIOrderBoard_Dealer14,"Кто-то ночью украл все наши запасы. Боюсь, нам не протянуть и дня!",
UIOrderBoard_Dealer15,"Говорят, светлячки устраивают кинопросмотр по субботам. Давай к ним! Только захвати одного из них с собой. Попкорн сделаем на месте.",
UIOrderBoard_Dealer16,Прошли новогодние праздники - и внезапно съели всю еду. Сможешь помочь?,
UIOrderBoard_Dealer17,"Наш террариум никак не может вырваться из комнаты, уж очень сильные жуки. Есть достойные воины?",
UIOrderBoard_Dealer18,"Наш человек куда-то пропал, а еды в огороде не хватает на всех. Поделишься?",
UIOrderBoard_Dealer19,ООО... я смотрю у тебя еды завались! Нужно делиться! Тем более не бесплатно.,
UIOrderBoard_Dealer20,"Прости, но в нашей ферме опять закончилась еда. Похоже надо менять хозяина!",
UIOrderBoard_Dealer21,Ты слышал? Бои с жуками уже на подходе! Есть пару хороших воинов? Я буду очень благодарен. ,
UIOrderBoard_Dealer22,"Мои рабочие совсем обленились! Нужны пара воинов, чтобы их взбодрить!",
UIOrderBoard_Dealer23,"Внимание, благотворительность! Мы собираем подарки личинкам сиротам из соседнего муравейника.",
UIOrderBoard_Dealer24,Караул!! У нас бунт в террариуме! Нужна помощь нашим войскам!,
UIOrderBoard_Dealer25,Приветствую! Мы переживаем не самые лучшие времена. Не будет ли у вас лишних запасов?,
UIOrderBoard_Dealer26,Привет сосед! Мы собираем запасы для самого масштабного и длинного похода!,
UIOrderBoard_Dealer27,"Как хорошо, когда в соседях есть такой щедрый человек как ты! Правда же?",
UIOrderBoard_Dealer28,Почему-то на нашей земле не растет пшеница и малина. А хотелось бы попробовать!,
UIOrderBoard_Dealer29,"Наш паук очень сильно проголодался. Если его не покормить, он кого-то съест. Спаси нашу колонию!",
UIOrderBoard_Dealer30,В нашем террариуме просят разнообразить рацион! Может есть что-либо из этого?,
UIDonatShop_GiftButton,ЗАБРАТЬ,
UIDonatShop_GiftLabel,ПОДАРОК,
UIDonatShop_BestPriceLabel,ЛУЧШАЯ ЦЕНА,
UIDonateShop_Header,Магазин,
UIDonatShop_Crystals,АЛМАЗЫ,
UIDonatShop_Coins,МОНЕТЫ,
UIDonatShop_Toilets,СОРТИРЫ,
UITutorial_Skip,Пропустить обучение,
UIAnthill_Info_Bugs_Amount,Кол-во насекомых: {0},
UIAnthill_Info_Days_Lived,Кол-во дней прожито: {0},
UIAnthill_Info_Meal_Left,Осталось еды: {0},
UIAnthill_UpgradeButton,Обновить,
UIBugShop_CatalogTab,Каталог,
UIBugShop_TerrariumTab,Террариум,
UIFarmShop_Header,ФЕРМА,
UIHospital_Header,БОЛЬНИЦА,
UIHospital_Receve,Ранены :,
UIHospital_Repair,Лечатся :,
UIHospital_InfoButton,Информация,
UIHospital_RequiredLevel,Требуется<br>{0}<br>Уровень,
UIDeathRegistry_Death,Умер от,
UIDeathRegistry_Rest,Покоится,
UIRelaxationRoom_Header,ТАЙНОЕ ВИДЕНИЕ,
UIRelaxationRoom_Discription,"Смотри TV
и получай подарки!",
UIRelaxationRoom_Play,Смотреть,
UIRelaxationRoom_Info,Информация,
UISafe_Header,Сейф,
UISafe_Price,Открыть за,
UISelectPlace_Cancel,ОТМЕНИТЬ,
UISettingsWindow_Reset,Начать заново,
UISettingsWindow_UserAgreements,Пользовательское соглашение,
UISettingsWindow_PrivacyPolicy,Политика конфидициальности,
UISettingsWindow_Header,Настройки,
UIYesNo_Yes,Да,
UIYesNo_No,Нет,
UIDevOps_Discription,Сейчас случилась ошибка и мы уже занимаемся этим. Пожалуйста перезапустите игру.,
UIFarmShopItemInfo_CancelButton,Отмена,
UIFarmShopItemInfo_ConfirmButton,Купить,
UIAllUnitsResurrection_Discription,"К сожалению, пока Вас не было, вся колония умерла от голода =(",
UIAllUnitsResurrection_StartOverButton,Начать заново,
UIAllUnitsResurrection_ResurrectButton,Воскресить,
UIArena_Header,Арена,
UIArena_YourTeam,Ваш отряд:,
UIArena_ChangeButton,Изменить,
UIArena_FightButton,В бой!,
UIArenaSearchEnemy_Header,Поиск противников,
UIArenaSearchEnemy_SearchEnemy,Идёт поиск...,
UIArenaSearchEnemy_CancelButton,Отмена,
UIInfoMenu_UpgradeButton,Улучшить,
UIInfoMenu_ActionButton,Разбудить,
UIInfoMenu_RestockButton,Пополнить,
UIInfoMenu_SpeedupButton,Ускорить,
UIMyBugs_WikiAccept,Ок,
UIMyBugs_Upgrade,Улучшить,Upgrade
UIMyBugs_DefaultInfoHeader,Информация,
UIMyBugs_TerrariumHeader,Террариум,
UIMyBugs_CatalogAvailableFrom,Доступно с <br>{0} {1},
UIAntHillTasks_MenuTitle,Задачи,
UIAnyHillTasks_TaskCompleted,ГОТОВО!,
UIAntHillTasks_PopUp_Upgraded,Уровень муравейника повысился до {0} уровня!,
UIQuest_CollectNCoinsFromGoldmine,Собери {0} монет с шахты,
UIQuest_FeedBugs,Добавить еду насекомым,
UIQuest_RefillBowl,Наполни поилку,
UIQuest_WinAtHike5N20,Победи в походе {0} раз,
UIQuest_BeatABoss,Победи босса в походе,
UIQuest_WinAtHike5N10,Победи в походе {0} раз подряд,
UIQuest_CollectFoodFromGarden,Собери еду из огорода,
UIQuest_RemoveMudStock,Убери землю,
UIQuest_Redirect1N3Bugs,Перенаправь {0} муравьёв,
UIQuest_HikeAndWithWithButterfly,Сходи в поход с {0} и одержи победу,
UIQuest_PetABug,Погладь насекомое,
UIQuest_FindABummer,Найди лентяя,
UIQuest_WatchTV1N3,Посмотри телевизор {0} раз,
UIQuest_BattleOnArena1N3,Сразить на арене {0} раз,
UIQuest_WinOnArena1N4,Победи на арене {0} раз,
UIQuest_CollectAndCompleteOrder,Собери и выполни заказ,
UIQuest_WinOnArenaWithoutLosses,Победи на арене без потери солдат,
UIQuest_Heal1N2Soldiers,Вылечи {0} солдат,
UIQuest_Completed,Готово,
UIQuest_OpenChest,Открыть,
UIPopUp_Accept,OK,
UIPopUp_NewLevel,Новый уровень,
UIPopUp_Unlocked_Message,Доступны новые предметы:,
UIPopUp_Congratulations,Поздравляем! Ты получил новый уровень {0},
UIQuest_SlotTitle,КВЕСТ:,
UIQuest_CollectReward,ЗАБРАТЬ!,
UIQuest_RewardButtonTitle,НАГРАДА,
UIHeader_LevelTitle,Уровень,
UIAntHillTasks_BuildGarden,Построй огород,
UIAntHillTasks_BuildFightStock,Построй запасы в бой,
UIAntHillTasks_CreateWorker,Создай рабочего муравья,
UIAntHillTasks_BuildSunflowerSeeds,Размести семечки,
UIAntHillTasks_CreatePikeman,Создай копейщика,
UIAntHillTasks_BuildGoldmine,Построй золотую шахту,
UIAntHillTasks_BuildTrainPikes,Построй тренировочные копья,
UIAntHillTasks_BuildLeaf,Размести листочек,
UIAntHillTasks_BuildGrass1,Размести траву,
UIAntHillTasks_BuildLamp1,Размести светильник,
UIAntHillTasks_CreateArcher,Создай лучницу,
UIAntHillTasks_ReachDecorAmount3,Увеличь число декораций до 3-х,
UIAntHillTasks_BuildOrderBoard,Построй доску заказов,
UIAntHillTasks_UpgradeGardenTo2,Улучши огород до 2-го уровня,
UIAntHillTasks_UpgradeBug2,Улучши любого жука до 2-го уровня,
UIAntHillTasks_CompleteOrder,Выполни заказ,
UIAntHillTasks_CreateSnail,Создай улитку,
UIAntHillTasks_UpgradeBowlTo2,Улучши поилку до 2-го уровня,
UIAntHillTasks_UpgradeGardenTo3,Улучши огород до 3-го уровня,
UIAntHillTasks_UpgradeTrainPikesTo2,Улучши тренировочные копья до 2-го уровня,
UIAntHillTasks_UpgradeGoldmineTo2,Улучши золотую шахту до 2-го уровня,
UIAntHillTasks_UpgradeTrainPikesTo3,Улучши тренировочные копья до 3-го уровня,
UIAntHillTasks_BuildArrowTarget,Построй мишень,
UIAntHillTasks_FeedBugByCorn,Размести запасы кукурузы,
UIAntHillTasks_BuildBows,Размести трофейные луки,
UIAntHillTasks_CreateSpider,Создай паука,
UIAntHillTasks_CreateSleepingPods,Создай спальные места,
UIAntHillTasks_UpgradeBowlTo3,Улучши поилку до 3-го уровня,
UIAntHillTasks_ReachGardenAmount2,Увеличь число огородов до 2-х,
UIAntHillTasks_UpgradeTrainPikesTo4,Улучши тренировочные копья до 4-го уровня,
UIAntHillTasks_UpgradeArrowTargetTo2,Улучши мишень до 2-го уровня,
UIAntHillTasks_ReachDecorAmount5,Увеличь число декораций до 5-ти,
UIAntHillTasks_Reach3LvlWorkerAmount3,Улучши трёх рабочих до 3-го уровня,
UIAntHillTasks_UpgradePikemanTo4,Улучши копейщика до 4-го уровня,
UIAntHillTasks_UpgradeSnailTo2,Улучши улитку до 2-го уровня,
UIAntHillTasks_UpgradeGoldmineTo3,Улучши золотую шахту до 3-го уровня,
UIAntHillTasks_ReachGoldmineAmount2,Увеличь число золотых шахт до 2-х,
UIAntHillTasks_UpgradeGardenTo4,Улучши огород до 4-го уровня,
UIAntHillTasks_UpgradeSpiderTo2,Улучши паука до 2-го уровня,
UIAntHillTasks_UpgradeArcherTo3,Улучши лучницу до 3-го уровня,
UIAntHillTasks_BuildDumpster,Построй мусорный бак,
UIAntHillTasks_UpgradeGoldmineTo4,Улучши золотую щахту до 4-го уровня,
UIAntHillTasks_UpgradeBowlTo4,Улучши поилку до 4-го уровня,
UIAntHillTasks_UpgradeTrainPikesTo4,Улучши тренировочные копья до 4-го уровня,
UIAntHillTasks_UpgradeArrowTargetTo4,Улучши мишень до 4-го уровня,
UIAntHillTasks_UpgradeGardenTo5,Улучши огород до 5-го уровня,
UIAntHillTasks_UpgradeGoldmineTo5,Улучши золотую шахту до 5-го уровня,
UIAntHillTasks_UpgradeBowlTo5,Улучши поилку до 5-го уровня,
UIAntHillTasks_UpgradeTrainPikesTo5,Улучши тренировочные копья до 5-го уровня,
UIAntHillTasks_UpgradeArrowTargetTo5,Улучши мишень до 5-го уровня,
UIAntHillTasks_FeedBugByMeat,Размести запасы мяса,
UIAntHillTasks_BuildHospital,Построй больницу,
UIAntHillTasks_CreateSwordman,Создай мечника,
UIAntHillTasks_UnlockAllRooms,Раскопай все комнаты,
UIAntHillTasks_UpgradeGardenTo6,Улучши огород до 6-го уровня,
UIAntHillTasks_UpgradeGoldmineTo6,Улучши золотую шахту до 6-го уровня,
UIAntHillTasks_UpgradeBowlTo6,Улучши поилку до 6-го уровня,
UIAntHillTasks_UpgradeTrainPikesTo6,Улучши тренировочные копья до 6-го уровня,
UIAntHillTasks_UpgradeArrowTargetTo6,Улучши мишень до 6-го уровня,
UIAntHillTasks_BuildLamp1OnFloor2,Построй лампу на 2-м этаже,
UIAntHillTasks_BuildOutdoorPear,Поставь напольную грушу,
UIAntHillTasks_UpgradeGardenTo7,Улучши огород до 7-го уровня,
UIAntHillTasks_UpgradeGoldmineTo7,Улучши золотую шахту до 7-го уровня,
UIAntHillTasks_UpgradeBowlTo7,Улучши поилку до 7-го уровня,
UIAntHillTasks_UpgradeTrainPikesTo7,Улучши тренировочные копья до 7-го уровня,
UIAntHillTasks_UpgradeArrowTargetTo7,Улучши мишень до 7-го уровня,
UIAntHillTasks_CreateFirefly,Создай светлячка,
UIAntHillTasks_UpgradeOutdoorPearTo2,Улучши напольную грушу до 2-го уровня,
UIAntHillTasks_BuildSwords,Размести мечи,
UIAntHillTasks_UpgradeGardenTo8,Улучши огород до 8-го уровня,
UIAntHillTasks_UpgradeGoldmineTo8,Улучши золотую шахту до 8-го уровня,
UIAntHillTasks_UpgradeBowlTo8,Улучши поилку до 8-го уровня,
UIAntHillTasks_UpgradeTrainPikesTo8,Улучши тренировочные копья до 8-го уровня,
UIAntHillTasks_UpgradeArrowTargetTo8,Улучши мишень до 8-го уровня,
UIAntHillTasks_UpgradeOutdoorPearTo3,Улучши напольную грушу до 3-го уровня,
UIAntHillTasks_UpgradeGardenTo9,Улучши огород до 9-го уровня,
UIAntHillTasks_UpgradeGoldmineTo9,Улучши золотую шахту до 9-го уровня,
UIAntHillTasks_UpgradeBowlTo9,Улучши поилку до 9-го уровня,
UIAntHillTasks_UpgradeTrainPikesTo9,Улучши тренировочные копья до 9-го уровня,
UIAntHillTasks_UpgradeArrowTargetTo9,Улучши мишень до 9-го уровня,
UIAntHillTasks_UpgradeOutdoorPearTo4,Улучши напольную грушу до 4-го уровня,
UIAntHillTasks_UpgradeSwordsTo2,Улучши мечи до 2-го уровня,
UIAntHillTasks_CreateLadybug,Создай божью коровку,
UIAntHillTasks_UpgradeHospitalTo2,Улучши больницу до 2-го уровня,
UIAntHillTasks_UpgradeGardenTo10,Улучши огород до 10-го уровня,
UIAntHillTasks_UpgradeGoldmineTo10,Улучши золотую шахту до 10-го уровня,
UIAntHillTasks_UpgradeBowlTo10,Улучши поилку до 10-го уровня,
UIAntHillTasks_UpgradeTrainPikesTo10,Улучши тренировочные копья до 10-го уровня,
UIAntHillTasks_UpgradeArrowTargetTo10,Улучши мишень до 10-го уровня,
UIAntHillTasks_UpgradeOutdoorPearTo5,Улучши напольную грушу до 5-го уровня,
UIAntHillTasks_UpgradeSwordsTo3,Улучши мечи до 3-го уровня,
UIAntHillTasks_UpgradeGardenTo11,Улучши огород до 11-го уровня,
UIAntHillTasks_UpgradeGoldmineTo11,Улучши золотую шахту до 11-го уровня,
UIAntHillTasks_UpgradeBowlTo11,Улучши поилку до 11-го уровня,
UIAntHillTasks_UpgradeTrainPikesTo11,Улучши тренировочные копья до 11-го уровня,
UIAntHillTasks_UpgradeArrowTargetTo11,Улучши мишень до 11-го уровня,
UIAntHillTasks_UpgradeOutdoorPearTo6,Улучши напольную грушу до 6-го уровня,
UIAntHillTasks_UpgradeHospitalTo3,Улучши больницу до 3-го уровня,
UIAntHillTasks_CreateButterfly,Создай бабочку,
UIAntHillTasks_UpgradeSwordsTo4,Улучши мечи до 4-го уровня,
UIAntHillTasks_UpgradeGardenTo12,Улучши огород до 12-го уровня,
UIAntHillTasks_UpgradeGoldmineTo12,Улучши золотую шахту до 12-го уровня,
UIAntHillTasks_UpgradeBowlTo12,Улучши поилку до 12-го уровня,
UIAntHillTasks_UpgradeTrainPikesTo12,Улучши тренировочные копья до 12-го уровня,
UIAntHillTasks_UpgradeArrowTargetTo12,Улучши мишень до 12-го уровня,
UIAntHillTasks_UpgradeHospitalTo5,Улучши больницу до 5-го уровня,
UIAntHillTasks_BuildHangingPears,Построй подвесную грушу,
