Key,Russian,English
greetings_35_phrase,Смельчикам всегда рады!,
greetings_36_phrase,Чешуйчетокрылые<br> приветствуют тебя! ,
greetings_37_phrase,Привет! Ты не смог<br> меня забыть? ,
greetings_38_phrase,Мы так рады тебе,
helping_0_phrase,Не смей умирать!<br> Я уже спешу,
helping_1_phrase,Все раненные - в очередь! ,
helping_2_phrase,Где бинты? Где бинты?! ,
helping_3_phrase,"Я могу излечить любую<br> рану, даже душевную",
idle_0_phrase,Как у Вас настроение?.,
idle_1_phrase,Сегодня прекрасный<br> день.,
idle_2_phrase,"Хороший день, чтобы<br> пострелять из лука.",
idle_3_phrase,Отдыхать тоже нужно.,
idle_4_phrase,"А мне, вот,<br> нравится отдыхать.",
idle_5_phrase,Я не очень люблю войну.,
idle_6_phrase,Мне нравится<br> мирное время.,
idle_7_phrase,Рабочие<br> хорошо трудятся.,
idle_8_phrase,В бою главное -<br> безопасность.,
idle_9_phrase,"Не сомневайтесь,<br> мы победим!.",
idle_10_phrase,Может разнообразим еду?.,
idle_11_phrase,Я могу стрелять<br> по воздушным целям.,
idle_12_phrase,Мне нужно воевать<br> позади остальных.,
idle_13_phrase,"Хорошо, что<br> Вы наш предводитель.",
idle_14_phrase,Я могу пускать<br> стрелу за стрелой.,
idle_15_phrase,Завтра я стану муравьем!.,
idle_16_phrase,Не терпится вылезти....,
idle_17_phrase,Ещё чуть-чуть.,
idle_18_phrase,Я точно буду солдатом!.,
idle_19_phrase,Я уже почти готов!.,
idle_20_phrase,А у меня будет<br> место для сна?.,
idle_21_phrase,Как тут здорово!.,
idle_22_phrase,Что-то мне уже тесно....,
idle_23_phrase,"Надеюсь, мне хватит еды.",
idle_24_phrase,А ведь я - чей-то братик!.,
idle_25_phrase,Я чувствую связь с родом.,
idle_26_phrase,Жду сражений.,
idle_27_phrase,Рабочие должны работать.,
idle_28_phrase,Без сражений мне скучно.,
idle_29_phrase,Я легко переношу засуху.,
idle_30_phrase,Давайте уже в бой!.,
idle_31_phrase,Ожидание -<br> смерть для солдата.,
idle_32_phrase,Солдат должен воевать.,
idle_33_phrase,"Сражений нет,<br> как бы не потолстеть.",
idle_34_phrase,Я готов!.,
idle_35_phrase,Хотите проверить мои навыки?.,
idle_36_phrase,Копьё это вам<br> не лук какой-нибудь.,
idle_37_phrase,Ближний бой - <br>вот в чем сила.,
idle_38_phrase,Моё копьё - <br>мой лучший друг.,
idle_39_phrase,"Поесть, поспать.<br> Вот она жизнь!.",
idle_40_phrase,Какой чудесный день!.,
idle_41_phrase,"Мне кажется,<br> не хватает музыки.",
idle_42_phrase,Нужно разнообразить рацион.,
idle_43_phrase,Мы все - одна семья.,
idle_44_phrase,Я умею<br> раскрывать таланты.,
idle_45_phrase,Пока меня всё устраивает.,
idle_46_phrase,Отличного вам дня!.,
idle_47_phrase,Может мне родить еще?.,
idle_48_phrase,Позаботтесь о моих детях.,
idle_49_phrase,Это наш с вами дом.,
idle_50_phrase,Я надеюсь<br> вы нас не оставите.,
idle_51_phrase,Мне и тут хорошо!.,
idle_52_phrase,Надеюсь наша ферма<br> разрастется.,
idle_53_phrase,Не забывайте<br> нас кормить =).,
idle_54_phrase,Я могу рожать бесконечно.,
idle_55_phrase,Ваша задача -<br> защитить наш дом!.,
idle_56_phrase,Я на пределе скорости.,
idle_57_phrase,"Я участвую в гонках,<br> не то что некоторые).",
idle_58_phrase,Я за мир.,
idle_59_phrase,Может выберемся<br> на поверхность?.,
idle_60_phrase,Обожаю смотреть<br> на корни растений.,
idle_61_phrase,Вы знакомы с бабочками?.,
idle_62_phrase,Мы все - часть этого мира.,
idle_63_phrase,Я бы пригласил<br> бабочку на свидание.,
idle_64_phrase,"Кто понял жизнь, тот...<br> ну Вы поняли ;).",
idle_65_phrase,Я буду вам полезна!.,
idle_66_phrase,Я буду чистить стенки.,
idle_67_phrase,Мне всё нравится!.,
idle_68_phrase,Я еще маленький.,
idle_69_phrase,....,
idle_70_phrase,Скоро я буду искать жертву.,
idle_71_phrase,"Не плохо, не плохо.",
idle_72_phrase,Еды мне хватит на долго.,
idle_73_phrase,Не будтите во мне зло.,
idle_74_phrase,А вообще я добрый.,
idle_75_phrase,Я просто тут побуду.,
idle_76_phrase,"Если меня не злить,<br> то всё будет хорошо.",
idle_77_phrase,"Просто следите,<br> чтоб еда была....",
idle_78_phrase,Пока всё хорошо.,
idle_79_phrase,В бою<br> мне не будет равных.,
idle_80_phrase,Вот бы ещё вырасти.,
idle_81_phrase,"Если понадоблюсь, постучите",
idle_82_phrase,Скорость - это мое,
idle_83_phrase,Тсс...моя броня из метеорита,
idle_84_phrase,Тише едешь - дальше будешь,
idle_85_phrase,Поспешишь - насмешишь,
idle_86_phrase,Медленно - но верно,
idle_87_phrase,У меня тяжелая броня,
idle_88_phrase,Мой дом всегда со мной,
idle_89_phrase,Сегодня много работы.,
idle_90_phrase,Даже некогда отдохнуть.,
idle_91_phrase,Чудесный день.,
idle_92_phrase,"Сегодня тот же день,<br> что и вчера.",
idle_93_phrase,Без Вас тут было скучно.,
idle_94_phrase,Я хочу стать воином.,
idle_95_phrase,Убирать мусор<br> мне не очень-то и нравится.,
idle_96_phrase,"Я слышал,<br> у нас будет пополнение.",
idle_97_phrase,"Интересно, а что наверху?.",
idle_98_phrase,Порадуете нас новой едой?.,
idle_99_phrase,"Мне кажется,<br> стоит поменять обои.",
idle_100_phrase,"Вроде ничего не делал, но устал.",
idle_101_phrase,У нас есть телевизор?.,
idle_102_phrase,"Кажется, дождь собирается.",
idle_103_phrase,"Я надеюсь,<br> Вы нас не оставите.",
idle_104_phrase,Я скучал по Вам.,
idle_105_phrase,Не забывайте<br> пополнять поилку.,
idle_106_phrase,"Может, мне<br> пойти тренироваться?.",
idle_107_phrase,Я чуствую в себе лучника.,
idle_108_phrase,У нас прекрасная ферма!.,
idle_109_phrase,Я бы хотел яблоко.,
idle_110_phrase,У меня ещё столько дел.,
idle_111_phrase,Ох....,
idle_112_phrase,А тут симпатично!,
idle_113_phrase,На первый взгляд здесь неплохо,
idle_114_phrase,Хорошее место,
idle_115_phrase,Поскорее бы<br> со всеми познакомиться,
idle_116_phrase,Я скоро вылезу,
idle_117_phrase,Не терпиться вылезти,
idle_118_phrase,Эй! Подойдите кто-нибудь!,
idle_119_phrase,Чешется спинка =(,
idle_120_phrase,Ох! Вот я вырасту!,
idle_121_phrase,Я готов сражаться!,
idle_122_phrase,Вижу много ходячей еды.,
idle_123_phrase,Вкусные друзья...,
idle_124_phrase,"Повезло им, что есть еда на поле",
idle_125_phrase,"Главное, не будите меня,<br> когда я сплю.",
idle_126_phrase,Просто гуляю.,
idle_127_phrase,Сегодня настроение хорошее,
idle_128_phrase,"Очень хорошо, что я сыт.",
idle_129_phrase,Может угостите новой едой?,
idle_130_phrase,Проголодаюсь ещё не скоро,
idle_131_phrase,Хорошее жилище.,
idle_132_phrase,"Мне кажется,<br> тут не хватает паутины.",
idle_133_phrase,Кто хочет сразиться со мной?,
idle_134_phrase,Не бойся меня.,
idle_135_phrase,Где мои малыши? ,
idle_136_phrase,Я выучила новую<br> колыбельную для личинок,
idle_137_phrase,Доброта спасет мир,
idle_138_phrase,Следи за паучком,
idle_139_phrase,Я помолюсь за Вас,
idle_140_phrase,Солдаты могут спать<br> спокойно - я рядом,
idle_141_phrase,Тут столько работы,
idle_142_phrase,"Уже не помню, как тут оказалась",
idle_143_phrase,Кормить малышей<br> - одно наслаждение) ,
idle_144_phrase,Личинки - такие милашки,
idle_145_phrase,"Угадай, сколько на мне точек? ",
idle_146_phrase,Светить всегда! Светить везде! ,
idle_147_phrase,"Интересно, ночью я<br> никого не разбужу? ",
idle_148_phrase,Я много думал над смыслом жизни<br>...и ничего не придумал,
idle_149_phrase,"Я думаю,<br> мне удастся создать молнию",
idle_150_phrase,"Я настолько ярок,<br> что болят глаза",
idle_151_phrase,Немного света<br> не помешает,
idle_152_phrase,Я не боюсь никого!<br> Даже паука,
idle_153_phrase,Ты видел пауков?...<br> они где-то прячутся,
idle_154_phrase,За колонию я готов<br> победить любого! ,
idle_155_phrase,Возьми меня в поход!<br> Я уже собрал вещи... ,
idle_156_phrase,Осталось наточить мечи,
idle_157_phrase,Куда опять пропал<br> точильный камень?! ,
idle_158_phrase,Не сравнивай меня с лучниками<br> - я все равно сильнее. ,
idle_159_phrase,Молись о пощаде,
idle_160_phrase,Как прекрасны мои крылья! ,
idle_161_phrase,Ты не останешься равнодушным,
idle_162_phrase,Давай попробуем<br> грушу на вкус? ,
idle_163_phrase,Тсс...я слышу звон<br> разбитых сердец...и челюстей) ,
idle_164_phrase,Dealer - путешествие за заказом,
idle_165_phrase,Dealer - путешествие за заказом,
idle_166_phrase,Dealer - путешествие за заказом,
idle_167_phrase,Dealer - путешествие за заказом,
idle_168_phrase,Dealer - путешествие за заказом,
idle_169_phrase,Dealer - путешествие за заказом,
mining_0_phrase,Работа есть работа.,
mining_1_phrase,Добываю золото!.,
mining_2_phrase,Это тяжелая работа....,
mining_3_phrase,Эта шахта<br> принесет много денег!.,
mining_4_phrase,А мне можно монетку?.,
mining_5_phrase,В этой шахте<br> полно золота!.,
mining_6_phrase,Я бы посоветловал вам<br> обновить шахту.,
mining_7_phrase,Может всё таки<br> обновим шахту?.,
mining_8_phrase,С каждым взмахом<br> кирка тяжелее =(.,
mining_9_phrase,Не забывайте<br> собирать золото с шахты.,
mining_10_phrase,Я бы уже перекусил....,
mining_11_phrase,Что то я уже устал.,
mining_12_phrase,Золото нужно<br> чтоб покупать еду?.,
mining_13_phrase,"Взмах, еще взмах!.",
mining_14_phrase,Эта работа не из легких.,
noFood_0_phrase,Кончилась еда.,
noFood_1_phrase,Я бы сейчас поел.,
noFood_2_phrase,Хочу есть.,
noFood_3_phrase,Я голодная.,
noFood_4_phrase,Нечего есть.,
noFood_5_phrase,А где еда?.,
noFood_6_phrase,Еды нет.,
noFood_7_phrase,Я голоден.,
noFood_8_phrase,Я бы сейчас поел.,
noFood_9_phrase,Я голодный.,
noFood_10_phrase,Я голоден.,
noFood_11_phrase,Я не в настроении.,
noFood_12_phrase,Почему нет еды?!.,
noFood_13_phrase,"Еды нет, Вы в курсе?.",
noFood_14_phrase,"По-моему, кончилась еда.",
noFood_15_phrase,Мне кажется еды нет.,
noFood_16_phrase,Что то я проголодался.,
noFood_17_phrase,Еда сегодня будет?.,
noFood_18_phrase,Еда закончилась.,
noFood_19_phrase,"Еды нет,<br> но я найду решение..",
noFood_20_phrase,Вы не беспокоитесь?.,
noFood_21_phrase,"Возможно, кто то погибнет....",
noFood_22_phrase,И кого мне поймать первым?.,
noFood_23_phrase,Я выхожу на охоту.,
noFood_24_phrase,Время придет...,
noFood_25_phrase,Выживет сильнейший,
noFood_26_phrase,Выхожу на охоту.,
noFood_27_phrase,Нужна еда.,
noFood_28_phrase,Для меня еда еще есть.,
noFood_29_phrase,Насекомым нечего есть.,
noFood_30_phrase,Бедные насекомые.,
noFood_31_phrase,Целый век не ела,
noFood_32_phrase,Добавьте еды -<br> нечего есть малышам,
noFood_33_phrase,Скоро исхудаю,
noFood_34_phrase,Просто. Купить еды. ,
noFood_35_phrase,"Ты хочешь, чтобы мы тут<br> все умерли от голода?! ",
noFood_36_phrase,Еды!!! ,
noFood_37_phrase,Хочется и пить и есть,
noFood_38_phrase,Как я голоден,
noFood_39_phrase,Голод - опасная штука,
noFood_40_phrase,Хотя бы зернышко...,
noFood_41_phrase,Меня нельзя морить голодом,
noFood_42_phrase,Как я должен сражаться на пустой желудок?!,
noFood_43_phrase,Войскам нужна еда,
noFood_44_phrase,Не выдан сухпоек,
noFood_45_phrase,В запасах пусто,
noFood_46_phrase,"Я не жалуюсь, но еды нет",
noFood_47_phrase,Прям совсем нет еды,
noFood_48_phrase,Предлагаю - в поход за едой!,
noFood_49_phrase,"Уже нет сил, как хочется есть",
noFood_50_phrase,Я пью только сок фруктов. Но где они?,
noFood_51_phrase,Кто накормит?,
noFood_52_phrase,От голода моя яркость блекнет,
noFood_53_phrase,Я бы предпочла апельсин...пустому желудку!,
noFood_54_phrase,Нет сил летать,
noWater_0_phrase,"Я не жалуюсь,<br> но хочеться пить....",
noWater_1_phrase,Хочется пить.,
noWater_2_phrase,Кончилась вода.,
noWater_3_phrase,Нет воды.,
noWater_4_phrase,Вода кончилась.,
noWater_5_phrase,Поилка пуста!.,
noWater_6_phrase,Наполните поилку!.,
noWater_7_phrase,Нужна вода!.,
noWater_8_phrase,Все хотят пить.,
noWater_9_phrase,Почему нет воды?.,
noWater_10_phrase,Всех беспокоит жажда.,
noWater_11_phrase,Проверьте поилку.,
noWater_12_phrase,В поилке нет воды.,
noWater_13_phrase,"Я то найду воду,<br> а вот другие....",
noWater_14_phrase,Воды нет!.,
patrol_0_phrase,Я в патруле.,
patrol_1_phrase,Пока проишествий нет.,
patrol_2_phrase,Пока всё спокойно.,
patrol_3_phrase,Пойду пройдусь.,
patrol_4_phrase,Патруль - дело серьезное.,
patrol_5_phrase,Я охраняю порядок.,
patrol_6_phrase,Можете расчитывать<br> на меня.,
patrol_7_phrase,Я тут за всеми слежу.,
training_0_phrase,Стрелы мне!.,
training_1_phrase,Не мешайте целиться.,
training_2_phrase,Звук попавшей стрелы<br> самый сладкий ;).,
training_3_phrase,Я уже готова<br> отпустить тетиву.,
training_4_phrase,Где мой колчан?.,
training_5_phrase,Мне надо<br> сосредоточиться.,
training_6_phrase,Тяжело в учении -<br> легко в бою.,
training_7_phrase,Отличная тренировка.,
training_8_phrase,Я выучил прием!.,
training_9_phrase,Оп!.,
training_10_phrase,Повышаю свой уровень!.,
training_11_phrase,Да я хорош!.,
training_12_phrase,Отличное копьё!.,
training_13_phrase,Я становлюсь сильнее!.,
training_14_phrase,Как я вам?.,
