Key,Russian,English
BuildingsDescription_53,Видишь испуганный взгляд врага? Он теперь твой пленный. Время от времени собирай с него полезные вещи.,
BuildingInner_53_Prisoner,Заключен на : {0},
BuildingInner_53_Empty,За решеткой пусто...,
BuildingsName_54,Царица,
BuildingsDescription_54,"Царица террариума, производит новых муравьев",
BuildingsInner_54_Larva,Личинок,
BuildingsInner_54_Birth,Сможет рожать через,
BuildingsName_55,Комната отдыха,
BuildingsDescription_55,"Место для релакса. Уютные подушки, яркий телевизор, что еще надо? Иногда тут можно найти подарки.",
BuildingsName_56,Сейф,
BuildingsDescription_56,Ваше будущее в ваших руках! Сделайте вклад на будущее уже сегодня. Сейф сбережет стредства и умножит накопления. Стоит довериться.,
BuildingsName_57,Спальное место,
BuildingsDescription_57,"Спальник - приятнее спать в теплом спальнике, а не на голой земле. Насекомые будут чувствовать себя бодрее и лучше",
BuildingsName_58,Мечи,
BuildingsDescription_58,Острые лезвия отражают стальной характер мечников. Сила и воля в каждом взмахе. Лучше не подходить близко.,
BuildingsName_59,Муравейник,
BuildingsDescription_59,"Муравейник - Это дом для
ваших насекомых. Показывает
информацию и служит защитой
от внешнего мира.",
BuildingInner_Building,Наверное что-то строится..,
BuildingInner_59_UnitsCount,Кол-во насекомых :,
BuildingInner_59_DaysPassed,Кол-во дней прожито:,
BuildingInner_59_FoodLeft,Осталось еды :,
